id,type,question,options,answer,explain
11,CHOICE,"스마트폰의 두뇌 역할을 하는 반도체 칩을 부르는 명칭은?","AP (모바일 AP)|DRAM|NAND|LED",0,"모바일 AP(Application Processor)는 스마트폰의 CPU, GPU 등을 하나로 모은 시스템 반도체입니다."
12,OX,"삼성전자와 인텔처럼 설계부터 생산, 판매까지 모두 직접 하는 기업을 '종합 반도체 기업(IDM)'이라 한다.","",O,"IDM(Integrated Device Manufacturer)은 반도체 산업의 모든 과정을 스스로 하는 기업입니다."
13,CHOICE,"빛을 이용해 웨이퍼 위에 반도체 회로 밑그림을 찍어내는 반도체의 핵심 공정은?","식각 공정|포토 공정|세정 공정|패키징 공정",1,"포토 공정(Photolithography)은 사진을 현상하듯 빛을 이용해 회로를 그리는 공정입니다."
14,OX,"최근 인공지능(AI) 열풍으로 인해 그래픽 처리 장치인 GPU의 수요가 크게 늘고 있다.","",O,"GPU는 한 번에 많은 데이터를 동시에 처리(병렬 처리)할 수 있어 AI 연산에 필수적입니다."
15,CHOICE,"AI 반도체를 돕기 위해 여러 개의 DRAM을 수직으로 쌓아 올려 데이터 처리 속도를 크게 높인 메모리는?","HBM|USB|SD카드|ROM",0,"HBM(고대역폭 메모리)은 D램을 수직으로 쌓아 처리 속도를 비약적으로 높인 차세대 메모리입니다."
16,OX,"반도체를 만들 때 회로의 선폭이 가늘고 미세해질수록 한 개의 웨이퍼에서 더 많은 칩을 만들 수 있어 유리하다.","",O,"선폭이 좁아지면(미세 공정) 칩 크기가 작아져 생산성이 올라가고 전력 소모도 줄어듭니다."
17,CHOICE,"다 만들어진 반도체 칩을 외부 충격이나 습기로부터 보호하기 위해 포장하는 공정은?","포토 공정|식각 공정|패키징 공정|설계 공정",2,"패키징(Packaging) 공정은 반도체 칩을 포장하고 기판과 연결하는 후공정입니다."
18,OX,"빛을 내는 반도체인 LED도 넓은 의미에서 반도체의 한 종류이다.","",O,"LED(발광 다이오드)는 전기를 빛으로 바꿔주는 화합물 반도체입니다."
19,CHOICE,"웨이퍼 위에 불필요한 부분을 깎아내는(조각하는) 공정의 이름은?","식각 공정|세정 공정|연마 공정|증착 공정",0,"식각 공정(Etching)은 회로 패턴을 제외한 나머지 부분을 화학적/물리적으로 깎아내는 공정입니다."
20,OX,"전기차에는 일반 내연기관 자동차보다 훨씬 적은 수의 반도체가 들어간다.","",X,"전기차와 자율주행차에는 배터리 제어, 센서 등 수많은 전자 장비가 들어가 일반 차보다 훨씬 많은 반도체가 필요합니다."
21,CHOICE,"반도체 제조에서 불량품 없이 제대로 완성된 정상 제품의 비율을 무엇이라 부르는가?","수율|효율|가동률|재고율",0,"수율(Yield)은 전체 생산품 중 합격품의 비율로, 반도체 회사의 기술력을 상징합니다."
22,OX,"인공지능 칩(AI 가속기) 시장에서 세계 1위를 차지하고 있는 대표적인 팹리스 기업은 엔비디아(NVIDIA)다.","",O,"엔비디아는 GPU 기반의 AI 반도체 설계를 독점하다시피 하고 있는 팹리스입니다."
23,CHOICE,"반도체의 미세 공정을 이야기할 때 단위로 쓰이는 '나노(Nano)'는 1미터의 몇 분의 1일까?","백만 분의 1|천만 분의 1|1억 분의 1|10억 분의 1",3,"1나노미터(nm)는 10억 분의 1미터로, 머리카락 굵기의 10만 분의 1 정도입니다."
24,OX,"실리콘 밸리라는 이름은 반도체의 주 원료인 실리콘(규소)에서 유래했다.","",O,"반도체 산업이 미국 캘리포니아에 밀집하면서, 그 원료인 실리콘의 이름을 따서 실리콘 밸리가 되었습니다."
25,CHOICE,"반도체가 과열되면 성능이 떨어지는 현상을 막기 위해 열을 식혀주는 부품/시스템을 무엇이라 부르는가?","쿨링(방열) 시스템|배터리|안테나|디스플레이",0,"스마트폰이나 PC 모두 칩의 열을 식히는 쿨링(방열) 솔루션이 매우 중요합니다."
